Trade,Name,Min spread,Min Loading Ports,Max Loading Ports,Min Discharge Ports,Max Discharge Ports,Route start range lower,Route start range upper,Route dead position lower,Route dead position upper,Target/spread based
EANF,Europe - Africa - Far East,20,0,0,0,0,0,0,0,0,
"EUAF,""Europe to Africa, the Indian Ocean and Oceania"",5,4,10,6,11,25,28,0,0,"
EUCA,Europe to the Caribbean and the Americas,15,0,0,0,0,0,0,0,0,
EUME,Europe to the Middle East and Asia,10,4,8,6,14,20,25,27,30,
EXME,Ballast Europe,0,0,0,0,0,0,0,0,0,
FEAF,East Asia to Africa,20,0,0,0,0,0,0,0,0,
FEEU,East Asia to Europe,5,2,8,3,8,20,23,25,30,
FEUS,East Asia to North America and the Caribbean,10,3,6,3,7,21,23,25,30,
"MIAF,""Middle East, India and Africa to the Americas"",10,3,6,4,8,25,28,0,0,"
SACA,The Eastern Caribbean ex Kingston and ex Pointe-à-Pitre,15,0,0,0,0,0,0,0,0,
SAMX,The East-West trade ex Mexico,15,0,0,0,0,0,0,0,0,
SAUS,The North-South trade ex Port Everglades,20,0,0,0,0,0,0,0,0,
USIN,US East Coast - India,15,0,0,0,0,0,0,0,0,
"USME,""North America to the Middle East, East Africa and Asia"",10,3,6,4,8,20,25,0,0,"
